Διδάσκων,Τίτλος Μαθήματος,Ημέρα,Ώρα,Αίθουσα
Α. Τσώχου,Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων,Δευτέρα,15:00-17:00,3
Ι. Καρύδης,Επεξεργασία Ομιλίας και Ήχου,Δευτέρα,17:00-19:00,1
Κ. Χωριανόπουλος,Έξυπνα Περιβάλλοντα και Εφαρμογές,Δευτέρα,19:00-21:00,Εργαστήριο Αρεταίος
Α. Τσώχου,Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων,Τρίτη,11:00-13:00,3
Π. Κουρουθανάσης,Ηλεκτρονική Διακυβέρνηση,Τρίτη,13:00-15:00,2
Μ. Στεφανιδάκης,Παράλληλος Προγραμματισμός,Τρίτη,15:00-17:00,Εργαστήριο Αρεταίος
Θ. Έξαρχος,Αποθήκες Δεδομένων και Εξόρυξη Γνώσης,Τρίτη,17:00-19:00,2
Φ. Μυλωνάς,Κοινωνικός και Σημασιολογικός Ιστός,Τετάρτη,09:00-11:00,1
Π. Κουρουθανάσης,Ηλεκτρονική Διακυβέρνηση,Τετάρτη,11:00-13:00,2
Κ. Κερμανίδου,Αποθήκες Δεδομένων και Εξόρυξη Γνώσης,Τετάρτη,13:00-15:00,Εργαστήριο Γαληνός
Α. Πατέλη,Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Τετάρτη,15:00-17:00,2
Μ. Στεφανιδάκης,Παράλληλος Προγραμματισμός,Τετάρτη,17:00-19:00,Εργαστήριο Αρεταίος
Α. Πατέλη,Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Πέμπτη,13:00-15:00,2
Μ. Στεφανιδάκης,Κοινωνικός και Σημασιολογικός Ιστός,Πέμπτη,15:00-17:00,Εργαστήριο Αρεταίος
Ι. Καρύδης,Επεξεργασία Ομιλίας και Ήχου,Πέμπτη,17:00-19:00,Εργαστήριο Γαληνός
Κ. Χωριανόπουλος,Έξυπνα Περιβάλλοντα και Εφαρμογές,Παρασκευή,19:00-21:00,Εργαστήριο Αρεταίος
